Id,Lender name,Personal credit score,Time in business,Business revenue,Term length,Apr,Strategy,Created at,Updated at
11,Lendio ,550,6 months,"$10,000 per month",1 -2 years,8 – 24%, You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
10,BlueVine ,600,6 months,"$120,000 per year",6 or 12 months,Starts at 4.8%, You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
9,Fundbox ,"",1-2 years,"Less than $100,000",12 - 24 weeks,"", You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
8,P2Binvestor ,N/A,6 months,"$500,000 per year",one-year revolving,High teens, You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
7,Excel Capital Management ,Varies by product,2 months,"$10,000 per month",4 -18 months,Approx. x1.15 – x1.39, You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
6,StreetShares ,620,1 year (sometimes 6 months),"        $100,000 per year",3 - 36 months,About 6% - 14%, You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
5,Behalf ,"",1 year,"",30 - 180 days,1% - 3% per month, You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
4,Dealstruck ,600,1 year,$150K/year,1 – 4 years,"", You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
3,InterNex Capital ,"",2 years,$1 million – $50 million,12 months,"", You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
2,Payability ,"",At least 90 days of sales history,"$2,000/month",16 – 20 weeks,Weekly fee starting at 0.75% of purchased receivables, You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
1,Universal Funding Corporation ,"","","$300,000 per year",12 – 24 months,0.55% – 2%/mo, You want to leverage invoice financing when you have accounts receivables or money that is owed to you by other businesses but do not want to have them be notified like invoice factoring. ,2020-02-07 20:13:39 UTC,2020-02-07 20:13:39 UTC
